skippedBeat, drNoTrigger, missingData, timestep (us), accelX, accelY
0, 0, 0, 6614465, 62509, 0
0, 0, 0, 6616481, 36047, 0
0, 0, 0, 6618494, 63046, 0
0, 0, 0, 6620506, 12585, 0
0, 0, 0, 6624527, 23300, 0
0, 0, 0, 6626539, 23988, 0
0, 0, 0, 6628552, 32632, 0
0, 0, 0, 6630564, 23000, 0
0, 0, 0, 6634585, 18536, 0
0, 0, 0, 6636597, 22183, 0
0, 0, 0, 6638610, 47103, 0
0, 0, 0, 6640622, 54335, 0
0, 0, 0, 6644643, 42283, 0
0, 0, 0, 6646656, 47857, 0
0, 0, 0, 6648668, 16892, 0
0, 0, 0, 6650680, 28633, 0
0, 0, 0, 6654701, 12154, 0
0, 0, 0, 6656714, 1942, 0
0, 0, 0, 6658726, 24073, 0
0, 0, 0, 6660738, 28716, 0
0, 0, 0, 6664760, 11429, 0
0, 0, 0, 6666772, 16727, 0
0, 0, 0, 6668784, 57204, 0
0, 0, 0, 6670796, 868, 0
0, 0, 0, 6674818, 15556, 0
0, 0, 0, 6676830, 24495, 0
0, 0, 0, 6678842, 45333, 0
0, 0, 0, 6680854, 34344, 0
0, 0, 0, 6684876, 49060, 0
0, 0, 0, 6686888, 20713, 0
0, 0, 0, 6688900, 5719, 0
0, 0, 0, 6690912, 12251, 0
0, 0, 0, 6694934, 25182, 0
0, 0, 0, 6696946, 20512, 0
0, 0, 0, 6698958, 21755, 0
0, 0, 0, 6700970, 49208, 0
0, 0, 0, 6702983, 54696, 0
0, 0, 0, 6707004, 78, 0
0, 0, 0, 6709017, 34726, 0
0, 0, 0, 6711029, 50964, 0
0, 0, 0, 6713045, 36243, 0
0, 0, 0, 6717071, 55077, 0
0, 0, 0, 6719083, 37974, 0
0, 0, 0, 6721122, 34340, 0
0, 0, 0, 6723135, 58948, 0
0, 0, 0, 6727156, 13023, 0
0, 0, 0, 6729168, 1369, 0
0, 0, 0, 6731181, 32141, 0
0, 0, 0, 6733193, 60739, 0
0, 0, 0, 6737214, 38779, 0
0, 0, 0, 6739226, 48062, 0
0, 0, 0, 6741239, 19344, 0
0, 0, 0, 6743251, 38678, 0
0, 0, 0, 6747272, 38281, 0
0, 0, 0, 6749285, 22685, 0
0, 0, 0, 6751297, 57470, 0
0, 0, 0, 6753309, 47991, 0
0, 0, 0, 6757331, 5830, 0
0, 0, 0, 6759343, 4911, 0
0, 0, 0, 6761355, 30502, 0
0, 0, 0, 6763367, 8856, 0
0, 0, 0, 6767389, 1672, 0
0, 0, 0, 6769401, 36341, 0
0, 0, 0, 6771413, 31156, 0
0, 0, 0, 6773425, 14896, 0
0, 0, 0, 6777447, 36308, 0
0, 0, 0, 6779459, 47412, 0
0, 0, 0, 6781471, 18589, 0
0, 0, 0, 6783483, 7226, 0
0, 0, 0, 6785495, 26637, 0
0, 0, 0, 6789517, 54799, 0
0, 0, 0, 6791529, 59069, 0
0, 0, 0, 6793541, 559, 0
0, 0, 0, 6795553, 60833, 0
0, 0, 0, 6799575, 12279, 0
0, 0, 0, 6801587, 8463, 0
0, 0, 0, 6803599, 37081, 0
0, 0, 0, 6805612, 37224, 0
0, 0, 0, 6809633, 58100, 0
0, 0, 0, 6811645, 729, 0
0, 0, 0, 6813662, 51516, 0
0, 0, 0, 6815674, 11176, 0
0, 0, 0, 6819699, 20789, 0
0, 0, 0, 6821712, 1765, 0
0, 0, 0, 6823724, 30095, 0
0, 0, 0, 6825736, 65066, 0
0, 0, 0, 6829773, 22989, 0
0, 0, 0, 6831785, 38082, 0
0, 0, 0, 6833797, 25664, 0
0, 0, 0, 6835809, 4033, 0
0, 0, 0, 6839831, 39631, 0
