# Simulation 21 (Up to date)
# 780 data points written for 54 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (30.6 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s²),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,94.02,0,94.02,0,0,0,0,0,0,47,9,9.808,90,0,0,0,1367.9,322.05,0.13626,7.3337e-4,NaN,698.18,NaN,0.012314,316527,142.03,0,1.3315,0,0.58822,0.65216,0.091148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,45.9,16.547,90,0,NaN,15,1013.2,340.39,0.02,0.0021147
0.02,0.018804,1.8804,366.25,1.8804,366.25,0,0,0,0,0,0,47,9,9.808,66.073,0,0,0,1367.9,322.05,0.13626,7.3337e-4,NaN,698.18,NaN,0.013621,350102,514.41,0.0039667,1.3185,0.18208,0.57517,0.65217,0.091151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8703e-4,45.9,16.547,90,0,NaN,15,1013.2,340.39,0.02,0.003244
# Event LIFTOFF occurred at t=0.04 seconds
0.04,0.1298,9.222,575.8,9.222,575.8,0,0,0,0,0,0,47,9,9.808,24.917,0,0,0,1364.1,318.22,0.13602,7.3268e-4,NaN,697.53,NaN,0.029873,767842,798.98,0.15742,1.2303,1.5022,0.48679,0.65233,0.091221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.1726e-4,45.9,16.547,90,0,NaN,14.999,1013.2,340.39,0.02,0.0044848
0.06,0.4297,20.775,580.4,20.775,580.4,0,0,0,0,0,0,47,9,9.808,11.804,0,0,0,1358.4,312.52,0.13565,7.3165e-4,NaN,696.56,NaN,0.062353,1602645,807.53,0.68521,1.2172,1.5009,0.47273,0.65299,0.091517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0020664,45.9,16.547,90,0,NaN,14.997,1013.2,340.39,0.0096268,0.0054077
0.069627,0.65678,26.411,579.28,26.411,579.28,0,0,0,0,0,0,47,9,9.808,9.4052,0,0,0,1352.9,307.06,0.1353,7.3066e-4,NaN,695.62,NaN,0.078648,2021440,799.05,1.0383,1.2179,1.4296,0.47262,0.65351,0.091744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0026269,45.9,16.547,90,0,NaN,14.996,1013.2,340.39,0.0075726,0.0063085
0.077199,0.87343,30.811,575.76,30.811,575.76,0,0,0,0,0,0,47,9,9.808,8.1288,0,0,0,1349.5,303.61,0.13507,7.3004e-4,NaN,695.02,NaN,0.091437,2350081,792.11,1.3638,1.2185,1.3893,0.47252,0.654,0.091958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0030646,45.9,16.547,90,0,NaN,14.994,1013.1,340.39,0.0064912,0.007232
0.083691,1.0856,34.556,572.4,34.556,572.4,0,0,0,0,0,0,47,9,9.808,7.2942,0,0,0,1346.7,300.79,0.13489,7.2953e-4,NaN,694.53,NaN,0.10235,2630522,786.05,1.6768,1.2191,1.3633,0.47242,0.65447,0.092167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0034371,45.9,16.547,90,0,NaN,14.993,1013.1,340.38,0.0057876,0.00811
0.089478,1.2952,37.875,569.25,37.875,569.25,0,0,0,0,0,0,47,9,9.808,6.6908,0,0,0,1344.2,298.33,0.13473,7.2909e-4,NaN,694.1,NaN,0.11203,2879373,780.6,1.9822,1.2196,1.3451,0.47232,0.65495,0.092372,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0037672,45.9,16.547,90,0,NaN,14.992,1013.1,340.38,0.0052805,0.0089551
0.094759,1.5031,40.885,566.29,40.885,566.29,0,0,0,0,0,0,47,9,9.808,6.2273,0,0,0,1342,296.11,0.13458,7.2869e-4,NaN,693.71,NaN,0.12083,3105338,775.53,2.2825,1.2202,1.3316,0.47222,0.65542,0.092574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0040666,45.9,16.547,90,0,NaN,14.99,1013.1,340.38,5e-3,0.0098785
0.099759,1.7146,43.72,564.43,43.72,564.43,0,0,0,0,0,0,47,9,9.808,5.8487,0,0,0,1339.9,294.05,0.13445,7.2832e-4,NaN,693.35,NaN,0.12912,3318290,772.01,2.5856,1.2208,1.321,0.47213,0.65589,0.092779,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0043486,45.9,16.547,90,0,NaN,14.989,1013,340.38,5e-3,0.010879
0.10476,1.9403,46.545,563.69,46.545,563.69,0,0,0,0,0,0,47,9,9.808,5.4879,0,0,0,1338,292.09,0.13432,7.2796e-4,NaN,693,NaN,0.13737,3530439,770.21,2.9053,1.2214,1.3113,0.47202,0.6564,0.092996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0046296,45.9,16.547,90,0,NaN,14.987,1013,340.38,5e-3,0.011814
# Event LAUNCHROD occurred at t=0.10976 seconds
0.10976,2.1801,49.367,562.91,49.367,562.91,0,0,0,0,0,2.8161,47,9,9.808,5.1669,0,0,0,1336,290.18,0.13419,7.2762e-4,864.45,692.66,3.7427,0.14563,3742403,767.97,3.2442,1.2221,1.3031,0.47191,0.65693,0.093227,1.5086,5.6459,1.3777e-4,0,0,0,0,0,0.0049102,45.9,16.547,90,0,NaN,14.986,1013,340.38,0.0075,0.012998
