# Simulation 21 (Up to date)
# 730 data points written for 18 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (30.6 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Vertical orientation (zenith) (°),Air pressure (mbar)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,29.657,0,29.657,0,0,0,0,0,0,90,0,0,0,90,1013.2
0.01,0.0014828,0.29657,158.22,0.29657,158.22,0,0,0,0,0,0,86.563,0,0,0,90,1013.2
0.02,0.012366,1.8804,297.07,1.8804,297.07,0,0,0,0,0,0,69.206,0,0,0,90,1013.2
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.04604,4.8551,436.41,4.8551,436.41,0,0,0,0,0,0,45.649,0,0,0,90,1013.2
0.04,0.11643,9.2248,564.8,9.2248,564.8,0,0,0,0,0,0,28.366,0,0,0,90,1013.2
0.05,0.23696,14.881,588.69,14.881,588.69,0,0,0,0,0,0,18.556,0,0,0,90,1013.2
0.06,0.41525,20.78,584.65,20.78,584.65,0,0,0,0,0,0,13.481,0,0,0,90,1013.2
0.069625,0.64238,26.421,579.26,26.421,579.26,0,0,0,0,0,0,10.65,0,0,0,90,1013.2
0.077195,0.85902,30.819,575.74,30.819,575.74,0,0,0,0,0,0,9.1388,0,0,0,90,1013.1
0.083684,1.0712,34.563,572.37,34.563,572.37,0,0,0,0,0,0,8.1484,0,0,0,90,1013.1
0.089471,1.2808,37.881,569.22,37.881,569.22,0,0,0,0,0,0,7.4313,0,0,0,90,1013.1
0.09475,1.4887,40.891,566.26,40.891,566.26,0,0,0,0,0,0,6.8798,0,0,0,90,1013.1
