timestamp (us),measLate,skippedBeat,drNoTrigger,checksumError,measInvalid,Load (N)
27611251,1,1,0,0,1,7404.0732421875
28012832,1,1,0,0,1,7339.5654296875
28414433,1,1,0,0,1,7393.32177734375
28816018,1,1,0,0,1,7393.32177734375
29217566,1,1,0,0,1,7819.791015625
29619147,1,1,0,0,1,7307.3115234375
30020736,1,1,0,0,1,7343.1494140625
30422333,1,1,0,0,1,7357.484375
30823922,1,1,0,0,1,7203.38232421875
31225540,1,1,0,0,1,7662.10498046875
31627118,1,1,0,0,1,7848.4609375
32028714,1,1,0,0,1,8034.8173828125
32430302,1,1,0,0,1,7289.392578125
32831885,1,1,0,0,1,8063.4873046875
33233429,1,1,0,0,1,7966.7255859375
33635018,1,1,0,0,1,7551.0078125
34036566,1,1,0,0,1,7472.1650390625
34438126,1,1,0,0,1,7640.60205078125
34839689,1,1,0,0,1,7594.01318359375
35241274,1,1,0,0,1,8074.23876953125
35642856,1,1,0,0,1,7669.2724609375
36044439,1,1,0,0,1,7479.33251953125
36446023,1,1,0,0,1,7396.90576171875
36847609,1,1,0,0,1,7583.26171875
37249208,1,1,0,0,1,7418.408203125
37650785,1,1,0,0,1,7511.58642578125
38052397,1,1,0,0,1,8242.67578125
38453983,1,1,0,0,1,7662.10498046875
38855534,1,1,0,0,1,8038.40087890625
39257120,1,1,0,0,1,8020.48193359375
39658705,1,1,0,0,1,7615.51611328125
40060296,1,1,0,0,1,8300.0166015625
40461874,1,1,0,0,1,8246.259765625
40863458,1,1,0,0,1,8199.6708984375
41265058,1,1,0,0,1,7988.22802734375
41666632,1,1,0,0,1,8446.951171875
42068187,1,1,0,0,1,7529.50537109375
42469767,1,1,0,0,1,7773.20166015625
42871350,1,1,0,0,1,7891.46630859375
43272950,1,1,0,0,1,7794.70458984375
43674490,1,1,0,0,1,7525.92138671875
44076085,1,1,0,0,1,7364.65185546875
44477667,1,1,0,0,1,7490.083984375
44879283,1,1,0,0,1,7640.60205078125
45280865,1,1,0,0,1,7536.6728515625
45682448,1,1,0,0,1,7353.900390625
46084032,1,1,0,0,1,7909.38525390625
46485618,1,1,0,0,1,7300.14404296875
46887172,1,1,0,0,1,7425.576171875
47288758,1,1,0,0,1,7404.0732421875
47690299,1,1,0,0,1,8009.73095703125
48091884,1,1,0,0,1,7335.9814453125
48493493,1,1,0,0,1,7712.27783203125
48895075,1,1,0,0,1,8034.8173828125
49296645,1,1,0,0,1,8210.421875
49698235,1,1,0,0,1,8045.568359375
50099823,1,1,0,0,1,7920.13671875
50501409,1,1,0,0,1,8332.2705078125
50902988,1,1,0,0,1,7998.9794921875
51304588,1,1,0,0,1,8214.005859375
