timestamp (us),measLate,skippedBeat,drNoTrigger,checksumError,measInvalid,pressure (PSI)
28012564,0,0,0,0,1,-28.154035568237305
28414162,0,0,0,0,1,-26.171558380126953
28815745,0,0,0,0,1,-26.625774383544922
29217295,0,0,0,0,1,-25.098173141479492
29618876,0,0,0,0,1,-23.28241539001465
30020463,0,0,0,0,1,-23.777528762817383
30422060,0,0,0,0,1,-27.369171142578125
30823649,0,0,0,0,1,-21.756227493286133
31225270,0,0,0,0,1,-27.16265869140625
31626848,0,0,0,0,1,-26.852907180786133
32028438,0,0,0,0,1,-24.293350219726562
32430029,0,0,0,0,1,-22.16864776611328
32831614,0,0,0,0,1,-26.522541046142578
33233157,0,0,0,0,1,-25.510976791381836
33634744,0,0,0,0,1,-27.67896270751953
34036290,0,0,0,0,1,-21.343856811523438
34437854,0,0,0,0,1,-25.345848083496094
34839419,0,0,0,0,1,-28.216005325317383
35241000,0,0,0,0,1,-21.92119026184082
35642582,0,0,0,0,1,-27.24526023864746
36044168,0,0,0,0,1,-23.633115768432617
36445751,0,0,0,0,1,-27.575698852539062
36847339,0,0,0,0,1,-31.977596282958984
37248935,0,0,0,0,1,-23.983848571777344
37650515,0,0,0,0,1,-22.20989227294922
38052127,0,0,0,0,1,-24.004318237304688
38453708,0,0,0,0,1,-24.82988166809082
38855261,0,0,0,0,1,-30.261640548706055
39256845,0,0,0,0,1,-27.86485481262207
39658436,0,0,0,0,1,-21.73560905456543
40060023,0,0,0,0,1,-25.531618118286133
40461601,0,0,0,0,1,-25.387130737304688
40863189,0,0,0,0,1,-26.027040481567383
41264786,0,0,0,0,1,-26.605131149291992
41666361,0,0,0,0,1,-26.41930389404297
42067916,0,0,0,0,1,-22.725488662719727
42469494,0,0,0,0,1,-26.873552322387695
42871082,0,0,0,0,1,-27.34851837158203
43272678,0,0,0,0,1,-22.271759033203125
43674222,0,0,0,0,1,-28.071409225463867
44075811,0,0,0,0,1,-24.272714614868164
44477394,0,0,0,0,1,-26.43995475769043
44879008,0,0,0,0,1,-25.24264907836914
45280593,0,0,0,0,1,-23.34429931640625
45682179,0,0,0,0,1,-24.252079010009766
