Motor,Nosecone shape,Launch lug quantity,Surface finish [um],Fin cross section,Fin holder quantity,Fin thickness [mm],Outer diameter [mm],Boat tail,Dry mass [g],Wet mass [g],Apogee [m],Maximum speed [m/s],Mach number [-],Notes
I600,Haack 0,2,60,Rounded,2,5,41.9,Yes,500,1117,1406,436,1.282352941,
I600,Haack 0,2,60,Rounded,2,5,41.9,Yes,600,1217,1462,418,1.229411765,
I600,Haack 0,2,60,Rounded,2,5,41.9,Yes,700,1317,1509,400,1.176470588,
I600,Haack 0,2,60,Rounded,2,5,41.9,Yes,800,1417,1549,383,1.126470588,
I600,Haack 0,2,60,Rounded,2,5,41.9,Yes,900,1517,1582,366,1.076470588,
I600,Conical,2,60,Rounded,2,5,41.9,Yes,500,1117,1350,429,1.261764706,
I600,Conical,2,60,Rounded,2,5,41.9,Yes,600,1217,1403,412,1.211764706,
I600,Conical,2,60,Rounded,2,5,41.9,Yes,700,1317,1448,394,1.158823529,
I600,Conical,2,60,Rounded,2,5,41.9,Yes,800,1417,1486,377,1.108823529,
I600,Conical,2,60,Rounded,2,5,41.9,Yes,900,1517,1519,362,1.064705882,
I600,Ogive,2,60,Rounded,2,5,41.9,Yes,500,1117,1413,440,1.294117647,
I600,Ogive,2,60,Rounded,2,5,41.9,Yes,600,1217,1465,421,1.238235294,
I600,Ogive,2,60,Rounded,2,5,41.9,Yes,700,1317,1511,401,1.179411765,
I600,Ogive,2,60,Rounded,2,5,41.9,Yes,800,1417,1549,384,1.129411765,
I600,Ogive,2,60,Rounded,2,5,41.9,Yes,900,1517,1582,367,1.079411765,
I600,Ellipsoid,2,60,Rounded,2,5,41.9,Yes,500,1117,1375,434,1.276470588,
I600,Ellipsoid,2,60,Rounded,2,5,41.9,Yes,600,1217,1428,416,1.223529412,
I600,Ellipsoid,2,60,Rounded,2,5,41.9,Yes,700,1317,1474,398,1.170588235,
I600,Ellipsoid,2,60,Rounded,2,5,41.9,Yes,800,1417,1512,381,1.120588235,
I600,Ellipsoid,2,60,Rounded,2,5,41.9,Yes,900,1517,1543,364,1.070588235,
I600,Haack 0,1,60,Rounded,2,5,41.9,Yes,500,1117,1434,439,1.291176471,
I600,Haack 0,1,60,Rounded,2,5,41.9,Yes,600,1217,1489,420,1.235294118,
I600,Haack 0,1,60,Rounded,2,5,41.9,Yes,700,1317,1537,402,1.182352941,
I600,Haack 0,1,60,Rounded,2,5,41.9,Yes,800,1417,1577,385,1.132352941,
I600,Haack 0,1,60,Rounded,2,5,41.9,Yes,900,1517,1609,367,1.079411765,
I600,Haack 0,0,60,Rounded,2,5,41.9,Yes,500,1117,1461,442,1.3,
I600,Haack 0,0,60,Rounded,2,5,41.9,Yes,600,1217,1517,423,1.244117647,
I600,Haack 0,0,60,Rounded,2,5,41.9,Yes,700,1317,1566,404,1.188235294,
I600,Haack 0,0,60,Rounded,2,5,41.9,Yes,800,1417,1606,386,1.135294118,
I600,Haack 0,0,60,Rounded,2,5,41.9,Yes,900,1517,1639,369,1.085294118,
I600,Haack 0,2,500,Rounded,2,5,41.9,Yes,500,1117,1253,423,1.244117647,
I600,Haack 0,2,500,Rounded,2,5,41.9,Yes,600,1217,1302,407,1.197058824,
I600,Haack 0,2,500,Rounded,2,5,41.9,Yes,700,1317,1344,390,1.147058824,
I600,Haack 0,2,500,Rounded,2,5,41.9,Yes,800,1417,1381,374,1.1,
I600,Haack 0,2,500,Rounded,2,5,41.9,Yes,900,1517,1411,358,1.052941176,
I600,Haack 0,2,150,Rounded,2,5,41.9,Yes,500,1117,1343,430,1.264705882,
I600,Haack 0,2,150,Rounded,2,5,41.9,Yes,600,1217,1396,414,1.217647059,
I600,Haack 0,2,150,Rounded,2,5,41.9,Yes,700,1317,1441,397,1.167647059,
I600,Haack 0,2,150,Rounded,2,5,41.9,Yes,800,1417,1479,380,1.117647059,
I600,Haack 0,2,150,Rounded,2,5,41.9,Yes,900,1517,1510,363,1.067647059,
I600,Haack 0,2,20,Rounded,2,5,41.9,Yes,500,1117,1477,441,1.297058824,
I600,Haack 0,2,20,Rounded,2,5,41.9,Yes,600,1217,1534,423,1.244117647,
I600,Haack 0,2,20,Rounded,2,5,41.9,Yes,700,1317,1584,404,1.188235294,
I600,Haack 0,2,20,Rounded,2,5,41.9,Yes,800,1417,1624,386,1.135294118,
I600,Haack 0,2,20,Rounded,2,5,41.9,Yes,900,1517,1658,369,1.085294118,
I600,Haack 0,2,2,Rounded,2,5,41.9,Yes,500,1117,1542,446,1.311764706,
I600,Haack 0,2,2,Rounded,2,5,41.9,Yes,600,1217,1603,427,1.255882353,
I600,Haack 0,2,2,Rounded,2,5,41.9,Yes,700,1317,1654,408,1.2,
I600,Haack 0,2,2,Rounded,2,5,41.9,Yes,800,1417,1697,390,1.147058824,
I600,Haack 0,2,2,Rounded,2,5,41.9,Yes,900,1517,1732,373,1.097058824,
I600,Haack 0,2,60,Square,2,5,41.9,Yes,500,1117,1206,424,1.247058824,
I600,Haack 0,2,60,Square,2,5,41.9,Yes,600,1217,1254,408,1.2,
I600,Haack 0,2,60,Square,2,5,41.9,Yes,700,1317,1295,391,1.15,
I600,Haack 0,2,60,Square,2,5,41.9,Yes,800,1417,1328,375,1.102941176,
I600,Haack 0,2,60,Square,2,5,41.9,Yes,900,1517,1358,359,1.055882353,
I600,Haack 0,2,60,Airfoil,2,5,41.9,Yes,500,1117,1449,441,1.297058824,
I600,Haack 0,2,60,Airfoil,2,5,41.9,Yes,600,1217,1506,422,1.241176471,
I600,Haack 0,2,60,Airfoil,2,5,41.9,Yes,700,1317,1554,404,1.188235294,
I600,Haack 0,2,60,Airfoil,2,5,41.9,Yes,800,1417,1595,386,1.135294118,
I600,Haack 0,2,60,Airfoil,2,5,41.9,Yes,900,1517,1628,369,1.085294118,
I600,Haack 0,2,60,Rounded,2,2,41.9,Yes,500,1117,1510,455,1.338235294,
I600,Haack 0,2,60,Rounded,2,2,41.9,Yes,600,1217,1567,434,1.276470588,
I600,Haack 0,2,60,Rounded,2,2,41.9,Yes,700,1317,1615,414,1.217647059,
I600,Haack 0,2,60,Rounded,2,2,41.9,Yes,800,1417,1654,394,1.158823529,
I600,Haack 0,2,60,Rounded,2,2,41.9,Yes,900,1517,1685,376,1.105882353,
I600,Haack 0,2,60,Rounded,2,3,41.9,Yes,500,1117,1473,449,1.320588235,
I600,Haack 0,2,60,Rounded,2,3,41.9,Yes,600,1217,1522,425,1.25,
I600,Haack 0,2,60,Rounded,2,3,41.9,Yes,700,1317,1577,409,1.202941176,
I600,Haack 0,2,60,Rounded,2,3,41.9,Yes,800,1417,1616,390,1.147058824,
I600,Haack 0,2,60,Rounded,2,3,41.9,Yes,900,1517,1648,372,1.094117647,
I600,Haack 0,2,60,Rounded,2,4,41.9,Yes,500,1117,1439,442,1.3,
I600,Haack 0,2,60,Rounded,2,4,41.9,Yes,600,1217,1495,422,1.241176471,
I600,Haack 0,2,60,Rounded,2,4,41.9,Yes,700,1317,1542,405,1.191176471,
I600,Haack 0,2,60,Rounded,2,4,41.9,Yes,800,1417,1581,387,1.138235294,
I600,Haack 0,2,60,Rounded,2,4,41.9,Yes,900,1517,1613,369,1.085294118,
I600,Haack 0,2,60,Rounded,2,6,41.9,Yes,500,1117,1376,430,1.264705882,
I600,Haack 0,2,60,Rounded,2,6,41.9,Yes,600,1217,1432,413,1.214705882,
I600,Haack 0,2,60,Rounded,2,6,41.9,Yes,700,1317,1479,396,1.164705882,
I600,Haack 0,2,60,Rounded,2,6,41.9,Yes,800,1417,1519,378,1.111764706,
I600,Haack 0,2,60,Rounded,2,6,41.9,Yes,900,1517,1551,363,1.067647059,
I600,Haack 0,2,60,Rounded,1,5,41.9,Yes,500,1117,1517,457,1.344117647,
I600,Haack 0,2,60,Rounded,1,5,41.9,Yes,600,1217,1573,435,1.279411765,
I600,Haack 0,2,60,Rounded,1,5,41.9,Yes,700,1317,1621,414,1.217647059,
I600,Haack 0,2,60,Rounded,1,5,41.9,Yes,800,1417,1658,395,1.161764706,
I600,Haack 0,2,60,Rounded,1,5,41.9,Yes,900,1517,1690,376,1.105882353,
I600,Haack 0,2,60,Rounded,0,5,41.9,Yes,500,1117,1664,480,1.411764706,
I600,Haack 0,2,60,Rounded,0,5,41.9,Yes,600,1217,1721,454,1.335294118,
I600,Haack 0,2,60,Rounded,0,5,41.9,Yes,700,1317,1767,430,1.264705882,
I600,Haack 0,2,60,Rounded,0,5,41.9,Yes,800,1417,1804,408,1.2,
I600,Haack 0,2,60,Rounded,0,5,41.9,Yes,900,1517,1831,387,1.138235294,
I600,Haack 0,2,60,Rounded,2,5,38,No,500,1117,1577,453,1.332352941,
I600,Haack 0,2,60,Rounded,2,5,38,No,600,1217,1637,433,1.273529412,
I600,Haack 0,2,60,Rounded,2,5,38,No,700,1317,1686,412,1.211764706,
I600,Haack 0,2,60,Rounded,2,5,38,No,800,1417,1725,393,1.155882353,
I600,Haack 0,2,60,Rounded,2,5,38,No,900,1517,1760,375,1.102941176,
I600,Haack 0,2,60,Rounded,2,5,40,No,500,1117,1549,449,1.320588235,
I600,Haack 0,2,60,Rounded,2,5,40,No,600,1217,1607,430,1.264705882,
I600,Haack 0,2,60,Rounded,2,5,40,No,700,1317,1656,410,1.205882353,
I600,Haack 0,2,60,Rounded,2,5,40,No,800,1417,1697,392,1.152941176,
I600,Haack 0,2,60,Rounded,2,5,40,No,900,1517,1730,373,1.097058824,
I600,Haack 0,2,60,Rounded,2,5,41.9,No,500,1117,1521,448,1.317647059,
I600,Haack 0,2,60,Rounded,2,5,41.9,No,600,1217,1579,428,1.258823529,
I600,Haack 0,2,60,Rounded,2,5,41.9,No,700,1317,1628,408,1.2,
I600,Haack 0,2,60,Rounded,2,5,41.9,No,800,1417,1669,390,1.147058824,
