measSkippedBeat, skippedBeat, drNoTrigger, checksumError, timestep (us), temperature (degC)
0, 0, 0, 0, 39301466, 3.028125e+01
0, 0, 0, 0, 39327456, 3.028125e+01
0, 0, 0, 0, 39353526, 3.028125e+01
0, 0, 0, 0, 39379506, 3.028125e+01
0, 0, 0, 0, 39405462, 3.028125e+01
0, 0, 0, 0, 39431449, 3.028125e+01
0, 0, 0, 0, 39457350, 3.028125e+01
0, 0, 0, 0, 39483377, 3.031250e+01
0, 0, 0, 0, 39509284, 3.028125e+01
0, 0, 0, 0, 39535278, 3.028125e+01
0, 0, 0, 0, 39561255, 3.028125e+01
0, 0, 0, 0, 39587177, 3.028125e+01
0, 0, 0, 0, 39613197, 3.028125e+01
0, 0, 0, 0, 39639115, 3.031250e+01
0, 0, 0, 0, 39665126, 3.028125e+01
0, 0, 0, 0, 39691058, 3.028125e+01
0, 0, 0, 0, 39717065, 3.028125e+01
0, 0, 0, 0, 39742973, 3.028125e+01
0, 0, 0, 0, 39768991, 3.028125e+01
0, 0, 0, 0, 39795070, 3.028125e+01
0, 0, 1, 0, 39820922, 3.028125e+01
0, 0, 0, 0, 39846393, 3.028125e+01
0, 0, 0, 0, 39872315, 3.028125e+01
0, 0, 0, 0, 39898341, 3.028125e+01
0, 0, 0, 0, 39924248, 3.028125e+01
0, 0, 0, 0, 39950294, 3.028125e+01
0, 0, 0, 0, 39976166, 3.028125e+01
0, 0, 0, 0, 40002147, 3.028125e+01
0, 0, 0, 0, 40028102, 3.028125e+01
0, 0, 0, 0, 40054088, 3.031250e+01
0, 0, 0, 0, 40080076, 3.028125e+01
0, 0, 0, 0, 40106145, 3.028125e+01
0, 0, 0, 0, 40132011, 3.028125e+01
0, 0, 0, 0, 40157969, 3.028125e+01
0, 0, 0, 0, 40183903, 3.031250e+01
0, 0, 0, 0, 40209841, 3.028125e+01
0, 0, 0, 0, 40235884, 3.031250e+01
0, 0, 0, 0, 40261774, 3.028125e+01
0, 0, 0, 0, 40287782, 3.028125e+01
0, 0, 0, 0, 40313700, 3.031250e+01
0, 0, 0, 0, 40339683, 3.028125e+01
0, 0, 0, 0, 40365695, 3.028125e+01
0, 0, 0, 0, 40391592, 3.028125e+01
0, 0, 0, 0, 40417609, 3.028125e+01
0, 0, 0, 0, 40443511, 3.028125e+01
0, 0, 0, 0, 40469547, 3.028125e+01
0, 0, 0, 0, 40495443, 3.028125e+01
0, 0, 0, 0, 40521490, 3.028125e+01
0, 0, 0, 0, 40547382, 3.031250e+01
0, 0, 0, 0, 40573399, 3.028125e+01
0, 0, 0, 0, 40599296, 3.028125e+01
0, 0, 0, 0, 40625292, 3.028125e+01
0, 0, 0, 0, 40651238, 3.028125e+01
0, 0, 0, 0, 40677223, 3.028125e+01
0, 0, 0, 0, 40703349, 3.028125e+01
0, 0, 0, 0, 40729208, 3.031250e+01
0, 0, 0, 0, 40755134, 3.028125e+01
0, 0, 0, 0, 40781077, 3.028125e+01
0, 0, 0, 0, 40807151, 3.028125e+01
0, 0, 0, 0, 40833005, 3.031250e+01
0, 0, 0, 0, 40859004, 3.031250e+01
0, 0, 0, 0, 40884915, 3.031250e+01
0, 0, 0, 0, 40910905, 3.028125e+01
0, 0, 0, 0, 40936934, 3.031250e+01
0, 0, 0, 0, 40962794, 3.028125e+01
0, 0, 1, 0, 40988816, 3.031250e+01
0, 0, 0, 0, 41014443, 3.031250e+01
0, 0, 0, 0, 41040302, 3.028125e+01
0, 0, 0, 0, 41066166, 3.031250e+01
0, 0, 0, 0, 41092139, 3.031250e+01
0, 0, 0, 0, 41118080, 3.028125e+01
0, 0, 0, 0, 41144072, 3.031250e+01
0, 0, 0, 0, 41170069, 3.031250e+01
0, 0, 0, 0, 41195970, 3.031250e+01
0, 0, 0, 0, 41222005, 3.031250e+01
0, 0, 0, 0, 41247909, 3.028125e+01
0, 0, 0, 0, 41273892, 3.031250e+01
0, 0, 0, 0, 41299822, 3.028125e+01
0, 0, 0, 0, 41325864, 3.031250e+01
0, 0, 0, 0, 41351764, 3.031250e+01
0, 0, 0, 0, 41377772, 3.031250e+01
0, 0, 0, 0, 41403710, 3.028125e+01
0, 0, 0, 0, 41429645, 3.031250e+01
0, 0, 0, 0, 41455689, 3.031250e+01
0, 0, 0, 0, 41481636, 3.031250e+01
0, 0, 1, 0, 41507601, 3.031250e+01
0, 0, 0, 0, 41533008, 3.031250e+01
0, 0, 0, 0, 41559028, 3.031250e+01
0, 0, 0, 0, 41584932, 3.031250e+01
0, 0, 0, 0, 41610903, 3.028125e+01
0, 0, 0, 0, 41636921, 3.031250e+01
0, 0, 0, 0, 41662825, 3.031250e+01
0, 0, 0, 0, 41688849, 3.028125e+01
0, 0, 0, 0, 41714774, 3.031250e+01
0, 0, 0, 0, 41740789, 3.031250e+01
0, 0, 0, 0, 41766702, 3.031250e+01
0, 0, 0, 0, 41792686, 3.031250e+01
0, 0, 0, 0, 41818621, 3.031250e+01
0, 0, 0, 0, 41844643, 3.031250e+01
0, 0, 0, 0, 41870551, 3.031250e+01
0, 0, 0, 0, 41896524, 3.028125e+01
0, 0, 0, 0, 41922484, 3.031250e+01
0, 0, 0, 0, 41948474, 3.031250e+01
0, 0, 0, 0, 41974501, 3.031250e+01
0, 0, 0, 0, 42000389, 3.031250e+01
0, 0, 0, 0, 42026414, 3.031250e+01
0, 0, 0, 0, 42052299, 3.031250e+01
0, 0, 0, 0, 42078330, 3.031250e+01
0, 0, 0, 0, 42104244, 3.031250e+01
0, 0, 0, 0, 42130255, 3.031250e+01
0, 0, 0, 0, 42156172, 3.031250e+01
0, 0, 0, 0, 42182138, 3.031250e+01
0, 0, 0, 0, 42208099, 3.031250e+01
0, 0, 0, 0, 42234067, 3.031250e+01
0, 0, 0, 0, 42260068, 3.031250e+01
0, 0, 0, 0, 42285988, 3.031250e+01
0, 0, 0, 0, 42311980, 3.034375e+01
0, 0, 0, 0, 42337927, 3.031250e+01
0, 0, 0, 0, 42363906, 3.031250e+01
0, 0, 0, 0, 42389852, 3.034375e+01
0, 0, 0, 0, 42415896, 3.031250e+01
0, 0, 0, 0, 42441779, 3.031250e+01
0, 0, 0, 0, 42467756, 3.031250e+01
0, 0, 0, 0, 42493732, 3.031250e+01
0, 0, 0, 0, 42519654, 3.031250e+01
0, 0, 0, 0, 42545676, 3.031250e+01
0, 0, 0, 0, 42571599, 3.031250e+01
0, 0, 0, 0, 42597588, 3.031250e+01
0, 0, 0, 0, 42623517, 3.031250e+01
0, 0, 0, 0, 42649586, 3.031250e+01
0, 0, 0, 0, 42675456, 3.031250e+01
0, 0, 0, 0, 42701470, 3.031250e+01
0, 0, 0, 0, 42727384, 3.031250e+01
0, 0, 0, 0, 42753389, 3.031250e+01
0, 0, 0, 0, 42779468, 3.031250e+01
0, 0, 0, 0, 42805325, 3.031250e+01
0, 0, 0, 0, 42831312, 3.034375e+01
0, 0, 0, 0, 42857195, 3.031250e+01
0, 0, 0, 0, 42883217, 3.031250e+01
0, 0, 0, 0, 42909136, 3.031250e+01
0, 0, 0, 0, 42935167, 3.031250e+01
0, 0, 0, 0, 42961056, 3.031250e+01
0, 0, 0, 0, 42987083, 3.028125e+01
0, 0, 0, 0, 43012993, 3.034375e+01
0, 0, 0, 0, 43039034, 3.031250e+01
0, 0, 0, 0, 43064919, 3.031250e+01
0, 0, 0, 0, 43090903, 3.031250e+01
0, 0, 0, 0, 43116937, 3.031250e+01
0, 0, 0, 0, 43142816, 3.031250e+01
0, 0, 0, 0, 43168829, 3.031250e+01
0, 0, 0, 0, 43194739, 3.031250e+01
0, 0, 0, 0, 43220733, 3.028125e+01
0, 0, 0, 0, 43246676, 3.031250e+01
0, 0, 0, 0, 43272701, 3.031250e+01
0, 0, 0, 0, 43298707, 3.031250e+01
0, 0, 0, 0, 43324620, 3.031250e+01
0, 0, 0, 0, 43350522, 3.031250e+01
0, 0, 0, 0, 43376527, 3.034375e+01
0, 0, 1, 0, 43402453, 3.031250e+01
0, 0, 0, 0, 43427938, 3.034375e+01
0, 0, 0, 0, 43453977, 3.031250e+01
0, 0, 0, 0, 43479856, 3.034375e+01
0, 0, 0, 0, 43505903, 3.031250e+01
0, 0, 0, 0, 43531791, 3.034375e+01
0, 0, 0, 0, 43557770, 3.034375e+01
0, 0, 0, 0, 43583727, 3.031250e+01
0, 0, 0, 0, 43609724, 3.028125e+01
0, 0, 0, 0, 43635816, 3.034375e+01
0, 0, 0, 0, 43661680, 3.031250e+01
0, 0, 0, 0, 43687655, 3.031250e+01
0, 0, 0, 0, 43713559, 3.031250e+01
0, 0, 0, 0, 43739572, 3.034375e+01
0, 0, 0, 0, 43765486, 3.031250e+01
0, 0, 0, 0, 43791507, 3.031250e+01
0, 0, 0, 0, 43817578, 3.031250e+01
0, 0, 0, 0, 43843438, 3.031250e+01
0, 0, 0, 0, 43869359, 3.031250e+01
0, 0, 0, 0, 43895357, 3.031250e+01
0, 0, 0, 0, 43921341, 3.031250e+01
0, 0, 0, 0, 43947242, 3.031250e+01
0, 0, 0, 0, 43973270, 3.031250e+01
0, 0, 0, 0, 43999183, 3.031250e+01
0, 0, 0, 0, 44025195, 3.034375e+01
0, 0, 0, 0, 44051116, 3.031250e+01
0, 0, 0, 0, 44077125, 3.031250e+01
0, 0, 0, 0, 44103040, 3.034375e+01
0, 0, 0, 0, 44129048, 3.031250e+01
0, 0, 0, 0, 44154961, 3.034375e+01
0, 0, 0, 0, 44180951, 3.031250e+01
0, 0, 0, 0, 44206947, 3.031250e+01
0, 0, 0, 0, 44232869, 3.031250e+01
0, 0, 0, 0, 44258889, 3.034375e+01
0, 0, 0, 0, 44284813, 3.034375e+01
0, 0, 0, 0, 44310827, 3.034375e+01
0, 0, 0, 0, 44336737, 3.031250e+01
0, 0, 0, 0, 44362773, 3.034375e+01
0, 0, 0, 0, 44388644, 3.031250e+01
0, 0, 0, 0, 44414655, 3.031250e+01
0, 0, 0, 0, 44440597, 3.031250e+01
0, 0, 0, 0, 44466558, 3.031250e+01
0, 0, 0, 0, 44492578, 3.031250e+01
0, 0, 0, 0, 44518487, 3.031250e+01
0, 0, 1, 0, 44544478, 3.034375e+01
0, 0, 0, 0, 44569923, 3.034375e+01
0, 0, 0, 0, 44595915, 3.031250e+01
0, 0, 0, 0, 44621843, 3.034375e+01
0, 0, 0, 0, 44647835, 3.034375e+01
0, 0, 0, 0, 44673822, 3.031250e+01
0, 0, 0, 0, 44699851, 3.034375e+01
0, 0, 0, 0, 44725760, 3.031250e+01
0, 0, 0, 0, 44751716, 3.031250e+01
0, 0, 0, 0, 44777690, 3.031250e+01
0, 0, 0, 0, 44803707, 3.034375e+01
0, 0, 0, 0, 44829603, 3.034375e+01
0, 0, 0, 0, 44855524, 3.034375e+01
0, 0, 0, 0, 44881499, 3.034375e+01
0, 0, 0, 0, 44907488, 3.031250e+01
0, 0, 0, 0, 44933429, 3.034375e+01
0, 0, 0, 0, 44959446, 3.034375e+01
0, 0, 0, 0, 44985352, 3.034375e+01
0, 0, 0, 0, 45011366, 3.031250e+01
0, 0, 0, 0, 45037288, 3.031250e+01
0, 0, 0, 0, 45063278, 3.031250e+01
0, 0, 0, 0, 45089219, 3.031250e+01
0, 0, 0, 0, 45115266, 3.034375e+01
0, 0, 0, 0, 45141152, 3.031250e+01
0, 0, 0, 0, 45167158, 3.031250e+01
0, 0, 0, 0, 45193291, 3.034375e+01
0, 0, 0, 0, 45219144, 3.031250e+01
0, 0, 0, 0, 45245075, 3.034375e+01
0, 0, 0, 0, 45270982, 3.034375e+01
0, 0, 0, 0, 45297026, 3.034375e+01
0, 0, 0, 0, 45322916, 3.034375e+01
0, 0, 0, 0, 45348926, 3.034375e+01
0, 0, 0, 0, 45374833, 3.034375e+01
0, 0, 0, 0, 45400880, 3.034375e+01
0, 0, 0, 0, 45426784, 3.031250e+01
0, 0, 0, 0, 45452746, 3.034375e+01
0, 0, 0, 0, 45478704, 3.034375e+01
0, 0, 0, 0, 45504693, 3.034375e+01
0, 0, 0, 0, 45530670, 3.031250e+01
0, 0, 0, 0, 45556599, 3.034375e+01
0, 0, 0, 0, 45582641, 3.034375e+01
0, 0, 0, 0, 45608525, 3.034375e+01
0, 0, 0, 0, 45634528, 3.034375e+01
0, 0, 0, 0, 45660471, 3.034375e+01
0, 0, 0, 0, 45686505, 3.034375e+01
0, 0, 0, 0, 45712387, 3.034375e+01
0, 0, 0, 0, 45738392, 3.034375e+01
0, 0, 0, 0, 45764522, 3.034375e+01
0, 0, 0, 0, 45790380, 3.034375e+01
0, 0, 0, 0, 45816315, 3.034375e+01
0, 0, 0, 0, 45842233, 3.034375e+01
0, 0, 0, 0, 45868246, 3.034375e+01
0, 0, 0, 0, 45894150, 3.034375e+01
0, 0, 0, 0, 45920216, 3.031250e+01
0, 0, 1, 0, 45946072, 3.034375e+01
0, 0, 0, 0, 45971546, 3.031250e+01
0, 0, 0, 0, 45997567, 3.034375e+01
0, 0, 0, 0, 46023591, 3.034375e+01
0, 0, 0, 0, 46049492, 3.034375e+01
0, 0, 0, 0, 46075565, 3.037500e+01
0, 0, 0, 0, 46101427, 3.034375e+01
0, 0, 0, 0, 46127344, 3.034375e+01
0, 0, 0, 0, 46153390, 3.034375e+01
0, 0, 0, 0, 46179266, 3.034375e+01
0, 0, 1, 0, 46205268, 3.034375e+01
0, 0, 0, 0, 46230762, 3.034375e+01
0, 0, 0, 0, 46256692, 3.031250e+01
0, 0, 0, 0, 46282671, 3.034375e+01
0, 0, 0, 0, 46308820, 3.034375e+01
0, 0, 0, 0, 46334680, 3.034375e+01
0, 0, 0, 0, 46360537, 3.034375e+01
0, 0, 0, 0, 46386526, 3.031250e+01
0, 0, 0, 0, 46412470, 3.034375e+01
0, 0, 0, 0, 46438454, 3.034375e+01
0, 0, 0, 0, 46464451, 3.034375e+01
0, 0, 0, 0, 46490371, 3.034375e+01
0, 0, 0, 0, 46516356, 3.034375e+01
0, 0, 0, 0, 46542303, 3.034375e+01
0, 0, 0, 0, 46568318, 3.034375e+01
0, 0, 0, 0, 46594214, 3.034375e+01
0, 0, 0, 0, 46620269, 3.034375e+01
0, 0, 0, 0, 46646156, 3.034375e+01
0, 0, 1, 0, 46672150, 3.034375e+01
0, 0, 0, 0, 46697682, 3.034375e+01
0, 0, 0, 0, 46723552, 3.034375e+01
0, 0, 0, 0, 46749604, 3.034375e+01
0, 0, 0, 0, 46775493, 3.034375e+01
0, 0, 0, 0, 46801507, 3.034375e+01
0, 0, 0, 0, 46827411, 3.037500e+01
0, 0, 0, 0, 46853407, 3.034375e+01
0, 0, 0, 0, 46879350, 3.034375e+01
0, 0, 0, 0, 46905334, 3.034375e+01
0, 0, 0, 0, 46931332, 3.034375e+01
0, 0, 0, 0, 46957358, 3.037500e+01
0, 0, 0, 0, 46983232, 3.034375e+01
0, 0, 0, 0, 47009171, 3.034375e+01
0, 0, 0, 0, 47035229, 3.034375e+01
0, 0, 0, 0, 47061102, 3.037500e+01
0, 0, 0, 0, 47087123, 3.034375e+01
0, 0, 0, 0, 47113050, 3.034375e+01
0, 0, 0, 0, 47139039, 3.034375e+01
0, 0, 0, 0, 47164959, 3.034375e+01
0, 0, 0, 0, 47190949, 3.037500e+01
0, 0, 0, 0, 47216943, 3.034375e+01
0, 0, 0, 0, 47242842, 3.034375e+01
0, 0, 0, 0, 47268832, 3.034375e+01
0, 0, 0, 0, 47294781, 3.037500e+01
0, 0, 0, 0, 47320793, 3.034375e+01
0, 0, 1, 0, 47346701, 3.037500e+01
0, 0, 0, 0, 47372186, 3.037500e+01
0, 0, 0, 0, 47398195, 3.037500e+01
0, 0, 0, 0, 47424091, 3.034375e+01
0, 0, 0, 0, 47450119, 3.034375e+01
0, 0, 0, 0, 47476019, 3.034375e+01
0, 0, 0, 0, 47502083, 3.034375e+01
0, 0, 0, 0, 47527946, 3.034375e+01
0, 0, 0, 0, 47553959, 3.034375e+01
0, 0, 0, 0, 47579884, 3.034375e+01
0, 0, 0, 0, 47605914, 3.034375e+01
0, 0, 0, 0, 47631804, 3.037500e+01
0, 0, 0, 0, 47657779, 3.034375e+01
0, 0, 0, 0, 47683819, 3.037500e+01
0, 0, 0, 0, 47709700, 3.037500e+01
0, 0, 0, 0, 47735694, 3.034375e+01
0, 0, 0, 0, 47761629, 3.034375e+01
0, 0, 0, 0, 47787650, 3.037500e+01
0, 0, 0, 0, 47813559, 3.037500e+01
0, 0, 0, 0, 47839604, 3.034375e+01
0, 0, 0, 0, 47865496, 3.034375e+01
0, 0, 0, 0, 47891575, 3.034375e+01
0, 0, 0, 0, 47917438, 3.034375e+01
0, 0, 0, 0, 47943373, 3.034375e+01
0, 0, 0, 0, 47969340, 3.037500e+01
0, 0, 0, 0, 47995335, 3.037500e+01
0, 0, 0, 0, 48021327, 3.037500e+01
0, 0, 0, 0, 48047248, 3.037500e+01
0, 0, 1, 0, 48073247, 3.037500e+01
0, 0, 0, 0, 48098856, 3.034375e+01
0, 0, 0, 0, 48124718, 3.037500e+01
0, 0, 0, 0, 48150598, 3.037500e+01
0, 0, 0, 0, 48176585, 3.037500e+01
0, 0, 0, 0, 48202711, 3.037500e+01
