timestamp (us),measLate,skippedBeat,drNoTrigger,checksumError,measInvalid,probeTemp (degC),ambientTemp (degC)
11109285,0,0,0,0,0,12.25,13.6875
11151187,0,0,0,0,0,12.25,13.75
11221183,0,0,0,0,0,12.25,13.6875
11368206,0,0,0,0,0,12.25,13.75
11445012,0,0,0,0,0,12.25,13.6875
11515074,0,0,0,0,0,12.25,13.75
11592010,0,0,0,0,0,12.25,13.6875
11662078,0,0,0,0,0,12.25,13.75
11697268,0,0,0,0,0,-117.75,13.75
11774135,0,0,0,0,0,-125.5,13.75
11844144,0,0,0,0,0,-147.75,13.75
11921045,0,0,0,0,0,-132.0,13.75
11991045,0,0,0,0,0,-94.0,13.75
12068065,0,0,0,0,0,-113.0,13.75
12138042,0,0,0,0,0,12.25,13.75
12180012,0,0,0,0,0,12.25,13.6875
12250066,0,0,0,0,0,12.25,13.75
12285270,0,0,0,0,0,12.5,13.75
12411083,0,0,0,0,0,12.5,27.5
12418121,0,0,0,0,0,12.5,13.75
12656012,0,0,0,0,0,-55.5,13.75
12726039,0,0,0,0,0,-64.25,13.75
12803035,0,0,0,0,0,-66.75,13.75
12873225,0,0,0,0,0,-33.75,13.75
12915262,0,0,0,0,0,-33.75,13.6875
12950230,0,0,0,0,0,12.5,13.6875
12992140,0,0,0,0,0,12.5,13.75
13286043,0,0,0,0,0,12.5,13.6875
13356064,0,0,0,0,0,12.5,13.8125
13433037,0,0,0,0,0,12.5,13.75
13503223,0,0,0,0,0,12.5,13.6875
13580251,0,0,0,0,0,12.5,13.75
13685205,0,0,0,0,0,-16.75,13.75
13762189,0,0,0,0,0,-14.5,13.75
13797214,0,0,0,0,0,-14.5,13.6875
13832121,0,0,0,0,0,-4.75,13.6875
13874121,0,0,0,0,0,-4.75,13.8125
13909114,0,0,0,0,0,12.5,13.8125
14021080,0,0,0,0,0,12.5,13.75
14385034,0,0,0,0,0,12.5,13.8125
14420172,0,0,0,0,0,12.75,13.8125
14462049,0,0,0,0,0,12.75,13.75
14567842,0,0,0,0,0,12.5,13.75
14644231,0,0,0,0,0,-15.0,13.75
14686179,0,0,0,0,0,-15.0,13.8125
14714037,0,0,0,0,0,-56.75,13.8125
14756242,0,0,0,0,0,-56.75,13.75
14791091,0,0,0,0,0,-64.0,13.75
14833245,0,0,0,0,0,-64.0,13.8125
14861011,0,0,0,0,0,-48.25,13.8125
14903277,0,0,0,0,0,-48.25,13.75
14938164,0,0,0,0,0,12.75,13.75
15085089,0,0,0,0,0,12.5,13.75
15128054,0,0,0,0,0,12.5,13.8125
15155034,0,0,0,0,0,12.75,13.8125
15274257,0,0,0,0,0,12.75,13.75
15491214,0,0,0,0,0,12.75,13.8125
15568141,0,0,0,0,0,12.75,13.75
15603086,0,0,0,0,0,12.5,13.75
15638049,0,0,0,0,0,12.5,13.8125
15673012,0,0,0,0,0,-179.0,13.8125
15750073,0,0,0,0,0,-157.75,13.8125
15820298,0,0,0,0,0,-70.25,13.8125
15862243,0,0,0,0,0,-70.25,13.75
15897174,0,0,0,0,0,12.5,13.75
16226055,0,0,0,0,0,12.5,13.8125
16303088,0,0,0,0,0,12.5,13.75
16450195,0,0,0,0,0,12.5,13.8125
16485239,0,0,0,0,0,12.75,13.8125
16520135,0,0,0,0,0,12.75,13.75
16555165,0,0,0,0,0,12.5,13.75
16597086,0,0,0,0,0,12.5,13.8125
16632222,0,0,0,0,0,0.5,13.8125
16702116,0,0,0,0,0,-73.25,13.8125
16744161,0,0,0,0,0,-73.25,13.75
16779096,0,0,0,0,0,-59.25,13.75
16821044,0,0,0,0,0,-59.25,13.8125
16849047,0,0,0,0,0,-81.5,13.8125
16926041,0,0,0,0,0,-78.75,13.8125
16996227,0,0,0,0,0,-88.0,13.8125
17073038,0,0,0,0,0,-91.25,13.8125
17143180,0,0,0,0,0,12.5,13.8125
17185074,0,0,0,0,0,12.5,13.75
17262029,0,0,0,0,0,12.5,13.8125
17409039,0,0,0,0,0,12.5,13.75
17626237,0,0,0,0,0,12.5,13.8125
17661157,0,0,0,0,0,-83.75,13.8125
17703158,0,0,0,0,0,-83.75,13.75
17738068,0,0,0,0,0,-66.75,13.75
17773103,0,0,0,0,0,-66.75,13.875
17808297,0,0,0,0,0,-62.5,13.875
17850245,0,0,0,0,0,-62.5,13.8125
17885187,0,0,0,0,0,-12.75,13.8125
17955126,0,0,0,0,0,12.5,13.8125
18032090,0,0,0,0,0,12.75,13.8125
18102031,0,0,0,0,0,12.5,13.8125
18291086,0,0,0,0,0,12.5,13.75
18361277,0,0,0,0,0,12.5,13.8125
18543111,0,0,0,0,0,12.25,13.8125
18690035,0,0,0,0,0,-96.5,13.8125
18732021,0,0,0,0,0,-96.5,13.75
18767910,0,0,0,0,0,-32.75,13.75
18802168,0,0,0,0,0,-32.75,13.8125
18837167,0,0,0,0,0,-22.0,13.8125
18914061,0,0,0,0,0,12.5,13.8125
18949261,0,0,0,0,0,12.5,13.75
19103032,0,0,0,0,0,12.5,13.8125
19250068,0,0,0,0,0,12.5,13.75
19320073,0,0,0,0,0,12.5,13.8125
19649184,0,0,0,0,0,-15.5,13.8125
19691088,0,0,0,0,0,-15.5,13.875
19726099,0,0,0,0,0,-30.25,13.875
19761012,0,0,0,0,0,-30.25,13.8125
19796031,0,0,0,0,0,-28.5,13.8125
19873048,0,0,0,0,0,-17.0,13.8125
19943052,0,0,0,0,0,12.5,13.8125
20055012,0,0,0,0,0,12.5,13.75
20132011,0,0,0,0,0,12.5,13.8125
20349051,0,0,0,0,0,12.5,13.875
20461035,0,0,0,0,0,12.75,13.875
20496045,0,0,0,0,0,12.75,13.8125
20531020,0,0,0,0,0,12.5,13.8125
20573237,0,0,0,0,0,12.5,13.875
20608021,0,0,0,0,0,12.25,13.875
20678010,0,0,0,0,0,12.0,13.875
20720175,0,0,0,0,0,12.0,13.8125
20755186,0,0,0,0,0,11.75,13.8125
20790245,0,0,0,0,0,11.75,13.875
20825010,0,0,0,0,0,-11.25,13.875
20867873,0,0,0,0,0,-11.25,13.8125
20902056,0,0,0,0,0,12.25,13.8125
20972133,0,0,0,0,0,12.5,13.8125
21091032,0,0,0,0,0,12.5,13.875
21161043,0,0,0,0,0,12.5,13.8125
21238276,0,0,0,0,0,12.5,13.875
21308041,0,0,0,0,0,12.5,13.8125
21385173,0,0,0,0,0,12.5,13.875
21490155,0,0,0,0,0,12.75,13.875
21532210,0,0,0,0,0,12.75,13.8125
21560032,0,0,0,0,0,12.5,13.8125
21602044,0,0,0,0,0,12.5,13.875
21637046,0,0,0,0,0,4.0,13.875
21679033,0,0,0,0,0,4.0,13.9375
21707995,0,0,0,0,0,-17.5,13.9375
21749012,0,0,0,0,0,-17.5,13.875
21784020,0,0,0,0,0,-18.75,13.875
21861252,0,0,0,0,0,-21.25,13.875
21931206,0,0,0,0,0,-30.5,13.875
22008307,0,0,0,0,0,-31.5,13.875
22043089,0,0,0,0,0,-31.5,13.8125
22078211,0,0,0,0,0,-33.0,13.8125
22120233,0,0,0,0,0,-33.0,13.9375
22155010,0,0,0,0,0,12.75,13.9375
22190146,0,0,0,0,0,12.75,13.875
22225074,0,0,0,0,0,12.5,13.875
22302032,0,0,0,0,0,12.75,13.875
22337031,0,0,0,0,0,12.75,13.9375
22414233,0,0,0,0,0,12.75,13.875
22519054,0,0,0,0,0,12.5,13.875
22666050,0,0,0,0,0,-64.5,13.875
22708276,0,0,0,0,0,-64.5,13.9375
22743047,0,0,0,0,0,-48.75,13.9375
22778041,0,0,0,0,0,-48.75,13.875
22813019,0,0,0,0,0,-45.0,13.875
22855021,0,0,0,0,0,-45.0,13.9375
22890079,0,0,0,0,0,1.25,13.9375
22925086,0,0,0,0,0,1.25,13.875
22960121,0,0,0,0,0,12.5,13.875
23331144,0,0,0,0,0,12.75,13.875
23401021,0,0,0,0,0,12.5,13.875
23443093,0,0,0,0,0,12.5,13.9375
23478012,0,0,0,0,0,12.75,13.9375
23520085,0,0,0,0,0,12.75,13.875
23625291,0,0,0,0,0,12.5,13.875
23695207,0,0,0,0,0,-22.75,13.875
23737145,0,0,0,0,0,-22.75,13.9375
23772271,0,0,0,0,0,-27.75,13.9375
23849177,0,0,0,0,0,-34.0,13.9375
23884047,0,0,0,0,0,-34.0,13.875
23919160,0,0,0,0,0,12.5,13.875
24178241,0,0,0,0,0,12.5,13.9375
24402049,0,0,0,0,0,12.5,13.875
24437047,0,0,0,0,0,12.25,13.875
24549045,0,0,0,0,0,12.25,13.9375
24619038,0,0,0,0,0,12.25,13.875
24654024,0,0,0,0,0,-62.75,13.875
24696036,0,0,0,0,0,-62.75,13.9375
24731191,0,0,0,0,0,-89.0,13.9375
24801153,0,0,0,0,0,-56.0,13.9375
24878310,0,0,0,0,0,-16.25,13.9375
24913202,0,0,0,0,0,-16.25,13.875
24948215,0,0,0,0,0,12.5,13.875
24990155,0,0,0,0,0,12.5,13.9375
25060085,0,0,0,0,0,12.5,13.875
25207847,0,0,0,0,0,12.5,13.9375
25508246,0,0,0,0,0,12.5,13.875
25536056,0,0,0,0,0,12.25,13.875
25613036,0,0,0,0,0,12.5,13.875
25655134,0,0,0,0,0,12.5,13.9375
25683041,0,0,0,0,0,-63.75,13.9375
25760021,0,0,0,0,0,-52.25,13.9375
25830010,0,0,0,0,0,-45.75,13.9375
25908038,0,0,0,0,0,12.5,13.9375
26313083,0,0,0,0,0,12.5,13.875
26348064,0,0,0,0,0,12.25,13.875
26390271,0,0,0,0,0,12.25,13.9375
26425034,0,0,0,0,0,12.5,13.9375
26642065,0,0,0,0,0,-24.75,13.9375
26719087,0,0,0,0,0,-58.5,13.9375
26789126,0,0,0,0,0,-41.75,13.9375
26866028,0,0,0,0,0,-37.25,13.9375
26901041,0,0,0,0,0,-37.25,14.0
26936050,0,0,0,0,0,-52.0,14.0
26978047,0,0,0,0,0,-52.0,13.9375
27013048,0,0,0,0,0,-56.75,13.9375
27083012,0,0,0,0,0,-61.75,13.9375
27160131,0,0,0,0,0,12.5,13.9375
27272126,0,0,0,0,0,12.5,13.875
27342163,0,0,0,0,0,12.5,13.9375
27496010,0,0,0,0,0,12.5,13.875
27524039,0,0,0,0,0,12.25,13.875
27566240,0,0,0,0,0,12.25,13.9375
27601044,0,0,0,0,0,12.5,13.9375
27671185,0,0,0,0,0,-131.25,13.9375
27713041,0,0,0,0,0,-131.25,14.0
27748238,0,0,0,0,0,-129.25,14.0
27790010,0,0,0,0,0,-129.25,13.9375
27818039,0,0,0,0,0,-121.0,13.9375
27895069,0,0,0,0,0,12.25,13.9375
27937046,0,0,0,0,0,12.25,13.875
28008000,0,0,0,0,0,12.25,13.9375
28154259,0,0,0,0,0,12.25,14.0
28189039,0,0,0,0,0,12.5,14.0
28231038,0,0,0,0,0,12.5,13.875
28301269,0,0,0,0,0,12.5,14.0
28378206,0,0,0,0,0,12.5,13.9375
28448192,0,0,0,0,0,12.5,14.0
28525021,0,0,0,0,0,12.5,13.9375
28630021,0,0,0,0,0,1.25,13.9375
28707881,0,0,0,0,0,-90.5,13.9375
28742037,0,0,0,0,0,-90.5,14.0
28777208,0,0,0,0,0,-60.75,14.0
28854037,0,0,0,0,0,-41.75,14.0
28889192,0,0,0,0,0,-41.75,13.9375
