timestamp (us),measLate,skippedBeat,drNoTrigger,checksumError,measInvalid,temperature (degC)
11086387,0,0,1,0,0,11.90625
11138370,0,0,0,0,0,11.90625
11193094,0,0,0,0,0,11.90625
11245697,0,0,0,0,0,11.90625
11299257,0,0,0,0,0,11.90625
11352963,0,0,0,0,0,11.90625
11405521,0,0,0,0,0,11.90625
11459067,0,0,0,0,0,11.90625
11512585,0,0,0,0,0,11.90625
11565275,0,0,0,0,0,11.90625
11619838,0,0,0,0,0,11.90625
11673374,0,0,0,0,0,11.90625
11725883,0,0,0,0,0,11.90625
11779629,0,0,0,0,0,11.90625
11833182,0,0,0,0,0,11.90625
11885677,0,0,0,0,0,11.9375
11939195,0,0,0,0,0,11.90625
11992921,0,0,0,0,0,11.90625
12045466,0,0,0,0,0,11.90625
12099018,0,0,0,0,0,11.90625
12152556,0,0,0,0,0,11.9375
12205261,0,0,0,0,0,11.9375
12258822,0,0,0,0,0,11.90625
12312357,0,0,0,0,0,11.90625
12364855,0,0,0,0,0,11.90625
12418550,0,0,0,0,0,11.9375
12472136,0,0,0,0,0,11.90625
12524620,0,0,0,0,0,11.9375
12578662,0,0,0,0,0,11.90625
12632360,0,0,0,0,0,11.9375
12684900,0,0,0,0,0,11.9375
12738428,0,0,0,0,0,11.9375
12791969,0,0,0,0,0,11.9375
12844457,0,0,0,0,0,11.90625
12898167,0,0,0,0,0,11.9375
12951689,0,0,0,0,0,11.9375
13004700,0,0,0,0,0,11.90625
13058227,0,0,0,0,0,11.90625
13111978,0,0,0,0,0,11.9375
13164548,0,0,0,0,0,11.9375
13219638,0,0,0,0,0,11.90625
13273176,0,0,0,0,0,11.9375
13325858,0,0,0,0,0,11.90625
13379508,0,0,0,0,0,11.9375
13433286,0,0,0,0,0,11.9375
13487769,0,0,0,0,0,11.9375
13540841,0,0,0,0,0,11.90625
13594370,0,0,0,0,0,11.9375
13648332,0,0,0,0,0,11.9375
13701001,0,0,0,0,0,11.9375
13755206,0,0,0,0,0,11.9375
13808755,0,0,0,0,0,11.9375
13861468,0,0,0,0,0,11.9375
13916552,0,0,0,0,0,11.90625
13970611,0,0,0,0,0,11.9375
14023366,0,0,0,0,0,11.9375
14076913,0,0,0,0,0,11.9375
14131130,0,0,0,0,0,11.9375
14183800,0,0,0,0,0,11.9375
14237553,0,0,0,0,0,11.9375
14291291,0,0,0,0,0,11.9375
14343971,0,0,0,0,0,11.9375
14397703,0,0,0,0,0,11.9375
14451213,0,0,0,0,0,11.96875
14504922,0,0,0,0,0,11.90625
14558472,0,0,0,0,0,11.9375
14612005,0,0,0,0,0,11.9375
14664678,0,0,0,0,0,11.9375
14718385,0,0,0,0,0,11.9375
14771930,0,0,0,0,0,11.9375
14824615,0,0,0,0,0,11.9375
14878223,0,0,0,0,0,11.9375
14931749,0,0,0,0,0,11.9375
14984914,0,0,0,0,0,11.9375
15038611,0,0,0,0,0,11.9375
15092823,0,0,0,0,0,11.9375
15145359,0,0,0,0,0,11.9375
15198893,0,0,0,0,0,11.9375
15252424,0,0,0,0,0,11.9375
15305162,0,0,0,0,0,11.9375
15358699,0,0,0,0,0,11.9375
15412220,0,0,0,0,0,11.9375
